Sample	Date of Collection	Pangolin	Month	Week
ME-HETL-J0001	2020-03-10	B.1.1	2020-3	2020-11
ME-HETL-J0002	2020-03-12	B.1	2020-3	2020-11
ME-HETL-J0003	2020-03-13	B.1	2020-3	2020-11
ME-HETL-J0004	2020-03-13	B.1	2020-3	2020-11
ME-HETL-J0005	2020-03-13	B.1	2020-3	2020-11
ME-HETL-J0006	2020-03-14	B.1	2020-3	2020-11
ME-HETL-J0007	2020-03-13	B.1	2020-3	2020-11
ME-HETL-J0008	2020-03-14	B.1.1	2020-3	2020-11
ME-HETL-J0009	2020-03-14	B.1	2020-3	2020-11
ME-HETL-J0010	2020-03-13	B.1	2020-3	2020-11
ME-HETL-J0011	2020-03-14	B.1	2020-3	2020-11
ME-HETL-J0012	2020-03-14	B.1	2020-3	2020-11
ME-HETL-J0013	2020-03-14	B.1.413	2020-3	2020-11
ME-HETL-J0014	2020-03-13	B.3	2020-3	2020-11
ME-HETL-J0015	2020-03-15	B.1	2020-3	2020-12
ME-HETL-J0016	2020-03-14	A.1	2020-3	2020-11
ME-HETL-J0017	2020-03-14	B.1.413	2020-3	2020-11
ME-HETL-J0018	2020-03-15	B.1	2020-3	2020-12
ME-HETL-J0019	2020-03-13	B.1	2020-3	2020-11
ME-HETL-J0020	2020-03-15	B.1	2020-3	2020-12
ME-HETL-J0022	2020-03-13	B.1	2020-3	2020-11
ME-HETL-J0023	2020-03-13	B.1	2020-3	2020-11
ME-HETL-J0024	2020-03-15	B.1	2020-3	2020-12
ME-HETL-J0025	2020-03-16	B.1.413	2020-3	2020-12
ME-HETL-J0026	2020-03-15	B.1	2020-3	2020-12
ME-HETL-J0027	2020-03-16	B.1	2020-3	2020-12
ME-HETL-J0028	2020-03-16	B.1	2020-3	2020-12
ME-HETL-J0029	2020-03-15	B.1	2020-3	2020-12
ME-HETL-J0030	2020-03-16	A	2020-3	2020-12
ME-HETL-J0031	2020-03-17	B.1	2020-3	2020-12
ME-HETL-J0032	2020-03-17	B.1	2020-3	2020-12
ME-HETL-J0033	2020-03-17	B.1	2020-3	2020-12
ME-HETL-J0034	2020-03-17	B.1	2020-3	2020-12
ME-HETL-J0035	2020-03-16	B.1	2020-3	2020-12
ME-HETL-J0036	2020-03-16	B.1	2020-3	2020-12
ME-HETL-J0037	2020-03-16	B.1	2020-3	2020-12
ME-HETL-J0038	2020-03-16	B.1	2020-3	2020-12
ME-HETL-J0039	2020-03-16	B.1	2020-3	2020-12
ME-HETL-J0040	2020-03-15	B.1	2020-3	2020-12
ME-HETL-J0041	2020-03-16	B.1	2020-3	2020-12
ME-HETL-J0042	2020-03-15	B.1	2020-3	2020-12
