Uniq_SampleID	Date of Collection
ME-HETL-J0001	3/10/20
ME-HETL-J0002	3/12/20
ME-HETL-J0003	3/13/20
ME-HETL-J0004	3/13/20
ME-HETL-J0005	3/13/20
ME-HETL-J0006	3/14/20
ME-HETL-J0007	3/13/20
ME-HETL-J0008	3/14/20
ME-HETL-J0009	3/14/20
ME-HETL-J0010	3/13/20
ME-HETL-J0011	3/14/20
ME-HETL-J0012	3/14/20
ME-HETL-J0013	3/14/20
ME-HETL-J0014	3/13/20
ME-HETL-J0015	3/15/20
ME-HETL-J0016	3/14/20
ME-HETL-J0017	3/14/20
ME-HETL-J0018	3/15/20
ME-HETL-J0019	3/13/20
ME-HETL-J0020	3/15/20
ME-HETL-J0022	3/13/20
ME-HETL-J0023	3/13/20
ME-HETL-J0024	3/15/20
ME-HETL-J0025	3/16/20
ME-HETL-J0026	3/15/20
ME-HETL-J0027	3/16/20
ME-HETL-J0028	3/16/20
ME-HETL-J0029	3/15/20
ME-HETL-J0030	3/16/20
ME-HETL-J0031	3/17/20
ME-HETL-J0032	3/17/20
ME-HETL-J0033	3/17/20
ME-HETL-J0034	3/17/20
ME-HETL-J0035	3/16/20
ME-HETL-J0036	3/16/20
ME-HETL-J0037	3/16/20
ME-HETL-J0038	3/16/20
ME-HETL-J0039	3/16/20
ME-HETL-J0040	3/15/20
ME-HETL-J0041	3/16/20
ME-HETL-J0042	3/15/20
ME-HETL-J0043	3/16/20
ME-HETL-J0044	3/16/20
ME-HETL-J0046	3/17/20
ME-HETL-J0047	3/18/20
ME-HETL-J0048	3/18/20
ME-HETL-J0049	3/19/20
ME-HETL-J0050	3/19/20
ME-HETL-J0051	3/19/20
ME-HETL-J0052	3/16/20
ME-HETL-J0053	3/13/20
ME-HETL-J0054	3/14/20
ME-HETL-J0055	3/16/20
ME-HETL-J0056	3/16/20
ME-HETL-J0057	3/15/20
ME-HETL-J0058	3/17/20
ME-HETL-J0059	3/16/20
ME-HETL-J0060	3/20/20
ME-HETL-J0061	3/20/20
ME-HETL-J0062	3/23/20
ME-HETL-J0063	3/17/20
ME-HETL-J0064	3/17/20
ME-HETL-J0065	3/19/20
ME-HETL-J0066	3/19/20
ME-HETL-J0067	3/20/20
ME-HETL-J0068	3/21/20
ME-HETL-J0069	3/21/20
ME-HETL-J0070	3/23/20
ME-HETL-J0071	3/23/20
ME-HETL-J0072	3/20/20
ME-HETL-J0073	3/19/20
ME-HETL-J0074	3/19/20
ME-HETL-J0075	3/19/20
ME-HETL-J0076	3/18/20
ME-HETL-J0077	3/18/20
ME-HETL-J0078	3/19/20
ME-HETL-J0079	3/19/20
ME-HETL-J0080	3/19/20
ME-HETL-J0081	3/18/20
ME-HETL-J0082	3/20/20
ME-HETL-J0083	3/20/20
ME-HETL-J0084	3/20/20
ME-HETL-J0085	3/21/20
ME-HETL-J0086	3/20/20
ME-HETL-J0087	3/19/20
ME-HETL-J0088	3/22/20
ME-HETL-J0089	3/22/20
ME-HETL-J0090	3/20/20
ME-HETL-J0091	3/21/20
ME-HETL-J0092	3/21/20
ME-HETL-J0093	3/21/20
ME-HETL-J0094	3/21/20
ME-HETL-J0095	3/21/20
ME-HETL-J0096	3/19/20
ME-HETL-J0097	3/20/20
ME-HETL-J0098	3/21/20
ME-HETL-J0099	3/23/20
ME-HETL-J0100	3/23/20
ME-HETL-J0101	3/23/20
ME-HETL-J0102	8/25/20
ME-HETL-J0103	8/25/20
ME-HETL-J0104	8/26/20
ME-HETL-J0105	8/26/20
ME-HETL-J0106	8/26/20
ME-HETL-J0107	8/27/20
ME-HETL-J0108	8/27/20
ME-HETL-J0109	8/27/20
ME-HETL-J0110	8/26/20
ME-HETL-J0112	8/27/20
ME-HETL-J0114	9/2/20
ME-HETL-J0115	9/2/20
ME-HETL-J0116	9/1/20
ME-HETL-J0117	9/2/20
ME-HETL-J0118	9/1/20
ME-HETL-J0119	9/1/20
ME-HETL-J0120	9/1/20
ME-HETL-J0124	9/3/20
ME-HETL-J0125	9/6/20
ME-HETL-J0126	9/6/20
ME-HETL-J0127	9/5/20
ME-HETL-J0129	9/6/20
ME-HETL-J0130	9/8/20
ME-HETL-J0131	9/8/20
ME-HETL-J0132	9/8/20
ME-HETL-J0133	9/8/20
ME-HETL-J0135	9/9/20
ME-HETL-J0136	9/9/20
ME-HETL-J0137	9/8/20
ME-HETL-J0138	9/8/20
ME-HETL-J0140	9/10/20
ME-HETL-J0141	9/9/20
ME-HETL-J0142	9/10/20
ME-HETL-J0143	9/11/20
ME-HETL-J0145	9/11/20
ME-HETL-J0146	9/11/20
ME-HETL-J0148	9/11/20
ME-HETL-J0149	9/11/20
ME-HETL-J0150	9/11/20
ME-HETL-J0155	9/11/20
ME-HETL-J0158	9/13/20
ME-HETL-J0159	9/13/20
ME-HETL-J0160	9/13/20
ME-HETL-J0161	9/14/20
ME-HETL-J0162	9/14/20
ME-HETL-J0163	9/14/20
ME-HETL-J0165	9/15/20
ME-HETL-J0166	9/15/20
ME-HETL-J0167	9/15/20
