Sample	Uniq_SampleID	Date of Collection	Avg Cov	Pangolin	GISAID_ID
ME-HETL-J0001	ME-HETL-J0001	3/10/20	3913	B.1.1	EPI_ISL_513414
ME-HETL-J0002	ME-HETL-J0002	3/12/20	2788	B.1	EPI_ISL_513415
ME-HETL-J0003	ME-HETL-J0003	3/13/20	4823	B.1	EPI_ISL_513416
ME-HETL-J0004	ME-HETL-J0004	3/13/20	123	B.1	EPI_ISL_513417
ME-HETL-J0005	ME-HETL-J0005	3/13/20	2336	B.1	EPI_ISL_513418
ME-HETL-J0006	ME-HETL-J0006	3/14/20	3410	B.1	EPI_ISL_513419
ME-HETL-J0007	ME-HETL-J0007	3/13/20	4882	B.1	EPI_ISL_513420
ME-HETL-J0008	ME-HETL-J0008	3/14/20	926	B.1.1	EPI_ISL_513421
ME-HETL-J0009	ME-HETL-J0009	3/14/20	8209	B.1	EPI_ISL_513422
ME-HETL-J0010	ME-HETL-J0010	3/13/20	11687	B.1	EPI_ISL_513423
ME-HETL-J0011	ME-HETL-J0011	3/14/20	12315	B.1	EPI_ISL_513424
ME-HETL-J0012	ME-HETL-J0012	3/14/20	15642	B.1	EPI_ISL_513425
ME-HETL-J0013	ME-HETL-J0013	3/14/20	12279	B.1.413	EPI_ISL_513426
ME-HETL-J0014	ME-HETL-J0014	3/13/20	11987	B.3	EPI_ISL_513427
ME-HETL-J0015	ME-HETL-J0015	3/15/20	14649	B.1	EPI_ISL_513428
ME-HETL-J0016	ME-HETL-J0016	3/14/20	9692	A.1	EPI_ISL_513429
ME-HETL-J0017	ME-HETL-J0017	3/14/20	15791	B.1.413	EPI_ISL_513430
ME-HETL-J0018	ME-HETL-J0018	3/15/20	12787	B.1	EPI_ISL_513431
ME-HETL-J0019	ME-HETL-J0019	3/13/20	14812	B.1	EPI_ISL_513432
ME-HETL-J0020	ME-HETL-J0020	3/15/20	13586	B.1	EPI_ISL_513433
ME-HETL-J0022	ME-HETL-J0022	3/13/20	17288	B.1	EPI_ISL_513434
ME-HETL-J0023	ME-HETL-J0023	3/13/20	15456	B.1	EPI_ISL_513435
ME-HETL-J0024	ME-HETL-J0024	3/15/20	12117	B.1	EPI_ISL_513436
ME-HETL-J0025	ME-HETL-J0025	3/16/20	15645	B.1.413	EPI_ISL_513437
ME-HETL-J0026	ME-HETL-J0026	3/15/20	15070	B.1	EPI_ISL_513438
ME-HETL-J0027	ME-HETL-J0027	3/16/20	48239	B.1	EPI_ISL_513439
ME-HETL-J0028	ME-HETL-J0028	3/16/20	14018	B.1	EPI_ISL_513440
ME-HETL-J0029	ME-HETL-J0029	3/15/20	9543	B.1	EPI_ISL_513441
ME-HETL-J0030	ME-HETL-J0030	3/16/20	14624	A	EPI_ISL_513442
ME-HETL-J0031	ME-HETL-J0031	3/17/20	11266	B.1	EPI_ISL_513443
ME-HETL-J0032	ME-HETL-J0032	3/17/20	13794	B.1	EPI_ISL_513444
ME-HETL-J0033	ME-HETL-J0033	3/17/20	2306	B.1	EPI_ISL_513445
ME-HETL-J0034	ME-HETL-J0034	3/17/20	3488	B.1	EPI_ISL_513446
ME-HETL-J0035	ME-HETL-J0035	3/16/20	20310	B.1	EPI_ISL_513447
ME-HETL-J0036	ME-HETL-J0036	3/16/20	9608	B.1	EPI_ISL_513448
ME-HETL-J0037	ME-HETL-J0037	3/16/20	14282	B.1	EPI_ISL_513449
ME-HETL-J0038	ME-HETL-J0038	3/16/20	6946	B.1	EPI_ISL_513450
ME-HETL-J0039	ME-HETL-J0039	3/16/20	13871	B.1	EPI_ISL_513451
ME-HETL-J0040	ME-HETL-J0040	3/15/20	13616	B.1	EPI_ISL_513452
ME-HETL-J0041	ME-HETL-J0041	3/16/20	11267	B.1	EPI_ISL_513453
ME-HETL-J0042	ME-HETL-J0042	3/15/20	11984	B.1	EPI_ISL_513454
ME-HETL-J0043	ME-HETL-J0043	3/16/20	8779	B.1.413	EPI_ISL_513455
ME-HETL-J0044	ME-HETL-J0044	3/16/20	15202	B.1	EPI_ISL_513456
ME-HETL-J0046	ME-HETL-J0046	3/17/20	8398	B.1.1	EPI_ISL_513457
ME-HETL-J0047	ME-HETL-J0047	3/18/20	12667	B.1	EPI_ISL_513458
ME-HETL-J0048	ME-HETL-J0048	3/18/20	11725	B.1	EPI_ISL_513459
ME-HETL-J0049	ME-HETL-J0049	3/19/20	17077	B.1	EPI_ISL_513460
ME-HETL-J0050	ME-HETL-J0050	3/19/20	12997	B.1	EPI_ISL_513461
ME-HETL-J0051	ME-HETL-J0051	3/19/20	10645	A	EPI_ISL_513462
ME-HETL-J0052	ME-HETL-J0052	3/16/20	15318	A.1	EPI_ISL_513463
ME-HETL-J0053	ME-HETL-J0053	3/13/20	13123	A.1	EPI_ISL_513464
ME-HETL-J0054	ME-HETL-J0054	3/14/20	20816	B.1	EPI_ISL_513465
ME-HETL-J0055	ME-HETL-J0055	3/16/20	11158	B.1	EPI_ISL_513466
ME-HETL-J0056	ME-HETL-J0056	3/16/20	16126	A.1	EPI_ISL_513467
ME-HETL-J0057	ME-HETL-J0057	3/15/20	12091	B.1	EPI_ISL_513468
ME-HETL-J0058	ME-HETL-J0058	3/17/20	12409	B.1	EPI_ISL_513469
ME-HETL-J0059	ME-HETL-J0059	3/16/20	12453	B.3	EPI_ISL_513470
ME-HETL-J0060	ME-HETL-J0060	3/20/20	15732	B.1	EPI_ISL_513471
ME-HETL-J0061	ME-HETL-J0061	3/20/20	10654	B.1.1.113	EPI_ISL_513472
ME-HETL-J0062	ME-HETL-J0062	3/23/20	16641	B.1	EPI_ISL_513473
ME-HETL-J0063	ME-HETL-J0063	3/17/20	14392	B.1	EPI_ISL_513474
ME-HETL-J0064	ME-HETL-J0064	3/17/20	13708	B.1	EPI_ISL_513475
ME-HETL-J0065	ME-HETL-J0065	3/19/20	14782	B.1.439	EPI_ISL_513476
ME-HETL-J0066	ME-HETL-J0066	3/19/20	6264	B.1.1.142	EPI_ISL_513477
ME-HETL-J0067	ME-HETL-J0067	3/20/20	12735	B.1	EPI_ISL_513478
ME-HETL-J0068	ME-HETL-J0068	3/21/20	12019	B.1	EPI_ISL_513479
ME-HETL-J0069	ME-HETL-J0069	3/21/20	12237	B.1.1	EPI_ISL_513480
ME-HETL-J0070	ME-HETL-J0070	3/23/20	8122	B.1	EPI_ISL_513481
ME-HETL-J0071	ME-HETL-J0071	3/23/20	12440	B.1	EPI_ISL_513482
ME-HETL-J0072	ME-HETL-J0072	3/20/20	10235	A.1	EPI_ISL_513483
ME-HETL-J0073	ME-HETL-J0073	3/19/20	12013	B.1.413	EPI_ISL_513484
ME-HETL-J0074	ME-HETL-J0074	3/19/20	13051	B.1	EPI_ISL_513485
ME-HETL-J0075	ME-HETL-J0075	3/19/20	14053	B.1	EPI_ISL_513486
ME-HETL-J0076	ME-HETL-J0076	3/18/20	1484	B.1	EPI_ISL_513487
ME-HETL-J0077	ME-HETL-J0077	3/18/20	8344	B.1	EPI_ISL_513488
ME-HETL-J0078	ME-HETL-J0078	3/19/20	12531	A.1	EPI_ISL_513489
ME-HETL-J0079	ME-HETL-J0079	3/19/20	7353	B.1	EPI_ISL_513490
ME-HETL-J0080	ME-HETL-J0080	3/19/20	11968	B.1	EPI_ISL_513491
ME-HETL-J0081	ME-HETL-J0081	3/18/20	13114	B.1	EPI_ISL_513492
ME-HETL-J0082	ME-HETL-J0082	3/20/20	9150	A.1	EPI_ISL_514438
ME-HETL-J0083	ME-HETL-J0083	3/20/20	9208	B	EPI_ISL_513493
ME-HETL-J0084	ME-HETL-J0084	3/20/20	12018	B.3	EPI_ISL_513494
ME-HETL-J0085	ME-HETL-J0085	3/21/20	11431	B.1	EPI_ISL_513495
ME-HETL-J0086	ME-HETL-J0086	3/20/20	14699	A.1	EPI_ISL_514439
ME-HETL-J0087	ME-HETL-J0087	3/19/20	10831	B.1	EPI_ISL_513496
ME-HETL-J0088	ME-HETL-J0088	3/22/20	9988	B.1	EPI_ISL_513497
ME-HETL-J0089	ME-HETL-J0089	3/22/20	4790	B.1	EPI_ISL_513498
ME-HETL-J0090	ME-HETL-J0090	3/20/20	7741	B.1	EPI_ISL_513499
ME-HETL-J0091	ME-HETL-J0091	3/21/20	9280	B.1.439	EPI_ISL_513500
ME-HETL-J0092	ME-HETL-J0092	3/21/20	10686	B.1	EPI_ISL_513501
ME-HETL-J0093	ME-HETL-J0093	3/21/20	10806	B.1	EPI_ISL_513502
ME-HETL-J0094	ME-HETL-J0094	3/21/20	12560	B.1	EPI_ISL_513503
ME-HETL-J0095	ME-HETL-J0095	3/21/20	10358	B.1	EPI_ISL_513504
ME-HETL-J0096	ME-HETL-J0096	3/19/20	9597	A.1	EPI_ISL_513505
ME-HETL-J0097	ME-HETL-J0097	3/20/20	12770	B.1	EPI_ISL_513506
ME-HETL-J0098	ME-HETL-J0098	3/21/20	3639	B.1	EPI_ISL_513507
ME-HETL-J0099	ME-HETL-J0099	3/23/20	4160	B.1	EPI_ISL_513508
ME-HETL-J0100	ME-HETL-J0100	3/23/20	3305	B.1	EPI_ISL_513509
ME-HETL-J0101	ME-HETL-J0101	3/23/20	458	B.1	EPI_ISL_513510
ME-HETL-J0102	ME-HETL-J0102	8/25/20	11130	B.1.2	EPI_ISL_755306
ME-HETL-J0103	ME-HETL-J0103	8/25/20	10644	B.1.2	EPI_ISL_755307
ME-HETL-J0104	ME-HETL-J0104	8/26/20	6940	B.1.2	EPI_ISL_755308
ME-HETL-J0105	ME-HETL-J0105	8/26/20	5729	B.1.2	EPI_ISL_755309
ME-HETL-J0106	ME-HETL-J0106	8/26/20	218	B.1.2	EPI_ISL_755310
ME-HETL-J0107	ME-HETL-J0107	8/27/20	4714	B.1.2	EPI_ISL_755311
ME-HETL-J0108	ME-HETL-J0108	8/27/20	12240	B.1.2	EPI_ISL_755312
ME-HETL-J0109	ME-HETL-J0109	8/27/20	9795	B.1.2	EPI_ISL_755313
ME-HETL-J0110	ME-HETL-J0110	8/26/20	11658	B.1.2	EPI_ISL_755314
ME-HETL-J0112	ME-HETL-J0112	8/27/20	4820	B.1.369	EPI_ISL_755315
ME-HETL-J0114	ME-HETL-J0114	9/2/20	3862	B.1.565	EPI_ISL_755316
ME-HETL-J0115	ME-HETL-J0115	9/2/20	4570	B.1.2	EPI_ISL_755317
ME-HETL-J0116	ME-HETL-J0116	9/1/20	512	B.1.1	EPI_ISL_755318
ME-HETL-J0117	ME-HETL-J0117	9/2/20	6713	B.1.1.192	EPI_ISL_755319
ME-HETL-J0118	ME-HETL-J0118	9/1/20	863	B.1.240	EPI_ISL_755320
ME-HETL-J0119	ME-HETL-J0119	9/1/20	10701	B.1.1	EPI_ISL_755321
ME-HETL-J0120	ME-HETL-J0120	9/1/20	722	B.1	EPI_ISL_755322
ME-HETL-J0124	ME-HETL-J0124	9/3/20	13135	B.1.2	EPI_ISL_755323
ME-HETL-J0125	ME-HETL-J0125	9/6/20	11931	B.1.2	EPI_ISL_755324
ME-HETL-J0126	ME-HETL-J0126	9/6/20	11245	B.1	EPI_ISL_755325
ME-HETL-J0127	ME-HETL-J0127	9/5/20	1233	B.1.1.398	#N/A
ME-HETL-J0129	ME-HETL-J0129	9/6/20	9445	B.1.2	EPI_ISL_755326
ME-HETL-J0130	ME-HETL-J0130	9/8/20	9831	B.1.2	EPI_ISL_755327
ME-HETL-J0131	ME-HETL-J0131	9/8/20	2555	B.1.2	EPI_ISL_755328
ME-HETL-J0132	ME-HETL-J0132	9/8/20	3065	B.1.2	EPI_ISL_755329
ME-HETL-J0133	ME-HETL-J0133	9/8/20	156	B.1.2	#N/A
ME-HETL-J0135	ME-HETL-J0135	9/9/20	7474	B.1.2	EPI_ISL_755330
ME-HETL-J0136	ME-HETL-J0136	9/9/20	9870	B.1.595.1	EPI_ISL_755331
ME-HETL-J0137	ME-HETL-J0137	9/8/20	10801	B.1	EPI_ISL_755332
ME-HETL-J0138	ME-HETL-J0138	9/8/20	11728	B.1.2	EPI_ISL_755333
